dest,classification,source,upstream_repo,upstream_revision,license,required_attribution,modifications
services/web_research/Dockerfile,A,release/sources/services/web_research/Dockerfile,,,MPL-2.0,,written for GRND0 public release
services/web_research/app/__init__.py,A,release/sources/services/web_research/app/__init__.py,,,MPL-2.0,,written for GRND0 public release
services/web_research/app/main.py,A,release/sources/services/web_research/app/main.py,,,MPL-2.0,,written for GRND0 public release
tests/test_public_surface.py,A,release/sources/tests/test_public_surface.py,,,MPL-2.0,,written for GRND0 public release
tools/bootstrap-env.ps1,A,release/sources/tools/bootstrap-env.ps1,,,MPL-2.0,,written for GRND0 public release
tools/clean-install.ps1,A,release/sources/tools/clean-install.ps1,,,MPL-2.0,,written for GRND0 public release
tools/export-receipt.py,A,release/sources/tools/export-receipt.py,,,MPL-2.0,,written for GRND0 public release
tools/grnd0_models.py,A,release/sources/tools/grnd0_models.py,,,MPL-2.0,,written for deterministic pack download and inference configuration
tools/leak-gate.py,A,release/sources/tools/leak-gate.py,,,MPL-2.0,,written for GRND0 public release
tools/start-local-inference-gpu.ps1,A,release/sources/tools/start-local-inference-gpu.ps1,,,MPL-2.0,,extracted from the native host llama-swap launcher; private lane recipes and residency control removed
tools/start-wsl-model.ps1,A,release/sources/tools/start-wsl-model.ps1,,,MPL-2.0,,"extracted from the WSL model launcher; model-specific setup, paths, recipes, and runtime-state integration removed"
uv.lock,B,release/sources/uv.lock,,,MPL-2.0,,generated by uv 0.9.8
